사업년도,보건소관리번호,보건소기호,보건소명,시도코드,시군구코드,우편번호,주소,국가암검진담당자연락처값,일반검진담당자연락처값,영유아검진담당자연락처값
2024,527400,35770031,전북특별자치도장수군보건의료원,52,740,55631,전북특별자치도장수군장수읍장천로247(장수리),063)350-2761,063)350-2761,063)350-2761
2024,527300,35770040,전북특별자치도무주군보건의료원,52,730,55515,전북특별자치도무주군무주읍한풍루로413,063)320-8355,063)320-8410,063)320-8410
2024,441330,34700161,충청남도천안시서북구보건소,44,133,31162,충남천안시서북구번영로156,041)521-5985,041)521-5985,041)521-5921
2024,441300,34700277,충청남도천안시동남구보건소,44,130,31131,충남천안시동남구버들로34(동남구보건소),041)521-5985,041)521-5985,041)521-5921
2024,441310,34700277,충청남도천안시동남구보건소,44,131,31131,충남천안시동남구버들로34(동남구보건소),041)521-5985,041)521-5985,041)521-5921
2024,521110,35700203,전북특별자치도전주시보건소,52,111,55038,전북특별자치도전주시완산구전라감영로33(중앙동),063)281-6352,063)281-6352,063)281-6349
2024,264400,21700125,부산광역시강서구보건소,26,440,46720,부산광역시강서구공항로811번길10(대저2동),051)970-3432,051)970-3445,051)970-3421
2024,411110,31700454,경기도수원시장안구보건소,41,111,16295,경기도수원시장안구송원로101(조원동),031)228-5831,031)228-5831,031)228-5137
2024,482500,38700107,경상남도김해시보건소,48,250,50958,경남김해시분성로227(외동.김해시보건소),055)330-4523,055)330-4523,055)330-6934
2024,411920,31700012,경기도부천시보건소,41,192,14575,경기도부천시옥산로10번길16(중동),032)625-4447~9,032)625-4402,032)625-4402
2024,411960,31700012,경기도부천시보건소,41,196,14575,경기도부천시옥산로10번길16(중동),032)625-4447~9,032)625-4402,032)625-4402
2024,264700,21700168,부산광역시연제구보건소,26,470,47605,부산광역시연제구연제로2(연산동),051)665-5660,051)665-5660,051)665-4876
2024,282600,31700373,인천광역시서구보건소,28,260,22726,인천광역시서구탁옥로39(심곡동),032)718-0613,032)718-0615,032)718-0432
2024,418700,31700292,경기도김포시보건소,41,870,10111,경기도김포시사우중로108(사우동),031)5186-4101,031)5186-4101,031)5186-4155
2024,416500,31700306,경기도포천시보건소,41,650,11143,경기도포천시포천로1612(신읍동),031)538-3626,031)538-3575,031)538-3575
2024,418100,31700306,경기도포천시보건소,41,810,11143,경기도포천시포천로1612(신읍동),031)538-3626,031)538-3575,031)538-3575
2024,418300,31700314,경기도양평군보건소,41,830,12546,경기도양평군양평읍마유산로17(양근리),031)770-3938,031)770-3521,031)770-3545
2024,412730,31700322,경기도안산단원보건소,41,273,15396,경기도안산시단원구화랑로250(초지동),031)481-6622,031)481-6622,031)369-1767
2024,412710,31700543,경기도안산시상록수보건소,41,271,15585,경기도안산시상록구차돌배기로1길5(사동),031)481-5953,031)481-5953,031)481-5978
2024,412900,31700331,경기도과천시보건소,41,290,13806,경기도과천시관문로69(중앙동.과천시보건소),02)2150-3821,02)2150-3821,02)2150-3828
2024,413100,31700349,경기도구리시보건소,41,310,11922,경기도구리시건원대로34번길84(인창동),031)550-8694,031)550-8694,031)550-8694
2024,412200,31700357,경기도평택시평택보건소,41,220,17901,경기도평택시평택5로56(비전동),031)8024-4433,031)8024-4411,031)8024-4357
2024,412240,31700357,경기도평택시평택보건소,41,224,17901,경기도평택시평택5로56(비전동),031)8024-4433,031)8024-4411,031)8024-4357
2024,412201,31700586,경기도평택시송탄보건소,41,220,17730,경기도평택시서정로295(서정동산12번지),031)8024-7283,031)8024-7283,031)8024-7241
2024,412220,31700586,경기도평택시송탄보건소,41,222,17730,경기도평택시서정로295(서정동산12번지),031)8024-7283,031)8024-7283,031)8024-7241
2024,414100,31700390,경기도군포시보건소,41,410,15887,경기도군포시군포로221,031)390-8932,031)390-8932,031)390-8965
2024,414300,31700403,경기도의왕시보건소,41,430,16076,경기도의왕시오봉로34(고천동),031)345-2933,031)345-2933,031)345-2933
2024,413700,31700411,경기도오산시보건소,41,370,18131,경기도오산시경기동로59(오산동),031)8036-6562,031)8036-6619,031)8036-6620
2024,414500,31700438,경기도하남시보건소,41,450,12951,경기도하남시대청로10(신장동),031)790-5603,031)790-5603,031)790-5603
2024,413600,31700446,경기도남양주보건소,41,360,12284,경기도남양주시경춘로522(다산동),031)590-8417,031)590-4490,031)590-4476
2024,413601,31700616,경기도남양주풍양보건소,41,360,12066,경기도남양주시진접읍해밀예당1로30-39,031)590-4064,031)590-4064,031)590-6992
2024,411730,31700462,경기도안양시동안구보건소,41,173,14047,경기도안양시동안구평촌대로253번길41(비산동),031)8045-4898,031)8045-4898,031)8045-4834
2024,411710,31700471,경기도안양시만안구보건소,41,171,14035,경기도안양시만안구문예로48(안양동),031)8045-3049,031)8045-3049,031)8045-3171
2024,414610,31700225,경기도용인처인보건소,41,461,17019,경기도용인시처인구중부대로1199(삼가동),031)324-4992,031)324-4992,031)324-4866
2024,414600,31700225,경기도용인처인보건소,41,460,17019,경기도용인시처인구중부대로1199(삼가동),031)324-4992,031)324-4992,031)324-4866
2024,414630,31700551,경기도용인기흥보건소,41,463,16969,경기도용인시기흥구신갈로58번길11,031)324-6929,031)324-6929,031)324-7954
2024,414650,31700560,경기도용인수지보건소,41,465,16835,경기도용인시수지구포은대로435(풍덕천동),031)324-8830,031)324-8830,031)324-8926
2024,418000,31770011,경기도연천군보건의료원,41,800,11027,경기도연천군전곡읍은대성로95(은대리),031)839-4047,031)839-4131,031)839-4074
2024,511700,32700016,강원특별자치도동해시보건소,51,170,25769,강원자치도동해시천곡로100-2(천곡동),033)530-2404,033)530-2404,033)530-2404
2024,511300,32700032,강원특별자치도원주시보건소,51,130,26417,강원자치도원주시원일로139(일산동),033)737-5217,033)737-5217,033)737-5217
2024,518300,32700041,강원특별자치도양양군보건소,51,830,25031,강원자치도양양군양양읍양양로9-5(연창리),033)670-2520,033)670-2520,033)670-1721
2024,518100,32700067,강원특별자치도인제군보건소,51,810,24633,강원자치도인제군인제읍인제로140번길34,033)460-2524,033)460-2524,033)460-2540
2024,411940,31700012,경기도부천시보건소,41,194,14575,경기도부천시옥산로10번길16(중동),032)625-4447~9,032)625-4402,032)625-4402
2024,511900,32700075,강원특별자치도태백시보건소,51,190,26027,강원자치도태백시태백로905,033)550-3176,033)550-3847,033)550-2272
2024,518200,32700091,강원특별자치도고성군보건소,51,820,24736,강원자치도고성군간성읍수성로30,033)680-3967,033)680-3967,033)680-3967
2024,517800,32700105,강원특별자치도철원군보건소,51,780,24037,강원자치도철원군갈말읍군탄로16(군탄리),033)450-4680,033)450-4680,033)450-4323
2024,511100,32700121,강원특별자치도춘천시보건소,51,110,24358,강원자치도춘천시중앙로135(중앙로3가67),033)250-4565,033)250-4565,033)250-4565
2024,517200,32700130,강원특별자치도홍천군보건소,51,720,25135,강원자치도홍천군홍천읍신장대로5(희망리),033)430-4065,033)430-4065,033)430-4048
2024,518000,32700148,강원특별자치도양구군보건소,51,800,24522,강원자치도양구군양구읍관공서로42,033)480-2847,033)480-2814,033)480-2847
2024,517700,32700156,강원특별자치도정선군보건소,51,770,26127,강원자치도정선군정선읍녹송로33,033)560-2073,033)560-2073,033)560-2060
2024,517500,32700172,강원특별자치도영월군보건소,51,750,26234,강원자치도영월군영월읍하송로44(하송리),033)370-2405,033)370-2407,033)370-2407
2024,511500,32700202,강원특별자치도강릉시보건소,51,150,25604,강원자치도강릉시남부로17번길38(내곡동),033)660-3074,033)660-3074,033)660-3074
2024,517300,32700211,강원특별자치도횡성군보건소,51,730,25234,강원자치도횡성군횡성읍횡성로379,033)340-5618,033)340-5651,033)340-5651
2024,512100,32700229,강원특별자치도속초시보건소,51,210,24855,강원자치도속초시수복로36(교동),033)639-1526,033)639-3745,033)639-3745
2024,512300,32700237,강원특별자치도삼척시보건소,51,230,25929,강원자치도삼척시척주로76(남양동),033)570-4686,033)570-4686,033)570-4674
2024,517900,32770014,강원특별자치도화천군보건의료원,51,790,24119,강원자치도화천군화천읍강변로111(중리),033)440-2852,033)440-2867,033)440-2869
2024,517600,32770022,강원특별자치도평창군보건의료원,51,760,25374,강원자치도평창군평창읍노성로11,033)330-4816,033)330-4816,033)330-4816
2024,437200,33700010,충청북도보은군보건소,43,720,28943,충북보은군보은읍동광길50(삼산리),043)540-5654,043)540-5637,043)540-5727
2024,438000,33700028,충청북도단양군보건소,43,800,27013,충북단양군단양읍삼봉로53(상진리),043)420-3233,043)420-3233,043)420-3233
2024,437700,33700052,충청북도음성군보건소,43,770,27705,충북음성군음성읍중앙로49(읍내리),043)871-2162,043)871-2162,043)871-2162
2024,437300,33700061,충청북도옥천군보건소,43,730,29032,충북옥천군옥천읍삼양로8길10(삼양리),043)730-2132,043)730-2132,043)730-2132
2024,431110,33700079,충청북도청주시상당보건소,43,111,28806,충북청주시상당구남일면단재로480(효촌리),043)201-3180,043)201-3180,043)201-3167
2024,431130,33700125,충청북도청주시흥덕보건소,43,113,28426,충북청주시흥덕구대농로88,043)201-3382,043)201-3382,043)201-3366
2024,431120,33700150,충청북도청주시서원보건소,43,112,28565,충북청주시서원구사직대로227,043)201-3286,043)201-3286,043)201-3270
2024,431140,33700176,충청북도청주시청원보건소,43,114,28125,충북청주시청원구오창읍과학산업3로238,043)201-3485,043)201-3485,043)201-3492
2024,437100,33700176,충청북도청주시청원보건소,43,710,28125,충북청주시청원구오창읍과학산업3로238,043)201-3485,043)201-3485,043)201-3492
2024,437400,33700087,충청북도영동군보건소,43,740,29150,충북영동군영동읍반곡동길7(매천리),043)740-5592,043)740-5592,043)740-5592
2024,437600,33700095,충청북도괴산군보건소,43,760,28033,충북괴산군괴산읍동진천길43(동부리),043)830-2367,043)830-2367,043)830-2367
2024,437500,33700109,충청북도진천군보건소,43,750,27831,충북진천군진천읍중앙북1길11-8(벽암리),043)539-7313,043)539-7313,043)539-7313
2024,431300,33700117,충청북도충주시보건소,43,130,27339,충북충주시사직산21길34(문화동),043)850-3441,043)850-3441,043)850-3534
2024,431500,33700141,충청북도제천시보건소,43,150,27152,충청북도제천시의림대로242(청전동),043)641-3172,043)641-3172,043)641-3172
2024,437450,33700168,충청북도증평군보건소,43,745,27948,충북증평군증평읍보건복지로64-1(내성리),043)835-4245,043)835-4245,043)835-4226
2024,442700,34700030,충청남도당진시보건소,44,270,31777,충남당진시서부로56(채운동),041-360-6031,041-360-6031,041-360-6713
2024,448300,34700030,충청남도당진시보건소,44,830,31777,충남당진시서부로56(채운동),041-360-6031,041-360-6031,041-360-6713
2024,447100,34700056,충청남도금산군보건소,44,710,32726,충남금산군금산읍금산로1559,041)750-4393,041)750-4393,041)750-4383
2024,442300,34700072,충청남도논산시보건소,44,230,32993,충남논산시논산대로382,041)746-8060,041)746-8060,041)746-8060
2024,448000,34700081,충청남도홍성군보건소,44,800,32236,충남홍성군홍성읍문화로106,041)630-9081,041)630-9081,041)630-9053
2024,448100,34700102,충청남도예산군보건소,44,810,32435,충남예산군예산읍군청로22,041)339-6093,041)339-6012,041)339-6045
2024,447600,34700145,충청남도부여군보건소,44,760,33140,충남부여군부여읍성왕로205,041)830-8662,041)830-8662,041)830-8691
2024,447700,34700188,충청남도서천군보건소,44,770,33683,충남서천군서천읍사곡길26,041)950-6773,041)950-6749,041)950-6745
2024,442000,34700196,충청남도아산시보건소,44,200,31521,충남아산시번영로224번길20(모종동573-2),041)537-3312,041)537-3312,041)537-3422
2024,441800,34700200,충청남도보령시보건소,44,180,33493,충남보령시남포면보령남로234,041)930-5972,041)930-5972,041)930-6864
2024,441500,34700218,충청남도공주시보건소,44,150,32531,충남공주시봉황로123,041)840-8806,041)840-8806,041)840-3257
2024,442100,34700242,충청남도서산시보건소,44,210,31997,충남서산시호수공원6로6(예천동),041)661-6506,041)661-6506,041)661-6506
2024,442500,34700269,충청남도계룡시보건소,44,250,32823,충남계룡시장안로54(금암동),042)840-3542,042)840-3542,042)840-3591
2024,447900,34770011,충청남도청양군보건의료원,44,790,33324,충남청양군청양읍칠갑산로7길54(읍내리),041)940-4992,041)940-4992,041)940-4992
2024,448250,34770020,충청남도태안군보건의료원,44,825,32148,충남태안군태안읍서해로1952-16(평천리),041)671-5339,041)671-5246,041)671-5246
2024,451300,35700017,전북특별자치도군산시보건소,45,130,54091,전북군산시수송동로58(수송동),063)454-5853,063)454-5853,063)454-5853
2024,457200,35700068,전북특별자치도진안군보건소,45,720,55422,전북진안군진안읍진무로1189(군상리),063)430-8530,063)430-8530,063)430-8530
2024,457100,35700076,전북특별자치도완주군보건소,45,710,55334,전북완주군삼례읍삼봉8로10-10,063)290-3029,062)290-3132,063)290-3132
2024,451400,35700092,전북특별자치도익산시보건소,45,140,54543,전북익산시무왕로975(신동.익산시보건소),063)859-4921,063)859-4921,063)859-4812
2024,458000,35700114,전북특별자치도부안군보건소,45,800,56314,전북부안군부안읍오리정로124(봉덕리),063)580-3082,063)580-3791,063)580-3791
2024,451900,35700131,전북특별자치도남원시보건소,45,190,55766,전북남원시요천로1285(조산동),063)620-7953,063)620-7953,063)620-7953
2024,457900,35700173,전북특별자치도고창군보건소,45,790,56442,전북고창군고창읍전봉준로90(율계리),063)560-8748,063)560-8748,063)560-8748
2024,451110,35700203,전북특별자치도전주시보건소,45,111,55038,전북전주시완산구전라감영로33(중앙동),063)281-6352,063)281-6352,063)281-6282
2024,452100,35700220,전북특별자치도김제시보건소,45,210,54385,전북김제시성산길138(요촌동),063)540-1395,063)540-1395,063)540-1322
2024,451800,35700238,전북특별자치도정읍시보건소,45,180,56177,전북정읍시수성1로61(수성동),063)539-6743,063)539-6743,063)539-6752
2024,457700,35770015,전북특별자치도순창군보건의료원,45,770,56049,전북순창군순창읍교성로135,063)650-5313,063)650-5327,063)650-5327
2024,457500,35770023,전북특별자치도임실군보건의료원,45,750,55927,전북임실군임실읍호국로1680(이도리),063)640-3133,063)640-3315,063)640-3325
2024,457400,35770031,전북특별자치도장수군보건의료원,45,740,55631,전북장수군장수읍장천로247(장수리),063)350-2761,063)350-2761,063)350-2761
2024,457300,35770040,전북특별자치도무주군보건의료원,45,730,55515,전북무주군무주읍한풍루로413,063)320-8355,063)320-8410,063)320-8410
2024,461500,36700029,전라남도순천시보건소,46,150,57938,전남순천시중앙로232(석현동),061)749-6885,061)749-6885,061)749-6900
2024,468300,36700037,전라남도영암군보건소,46,830,58421,전남영암군영암읍오리정길39(춘양리),061)470-6532,061)470-6532,061)470-6532
2024,461100,36700045,전라남도목포시보건소,46,110,58714,전남목포시원산로45번길5(산정동),061)270-3699,061)270-3699,061)270-8954
2024,468400,36700088,전라남도무안군보건소,46,840,58532,전남무안군무안읍무안로530(성동리),061)450-5033,061)450-5030,061)450-5030
2024,468200,36700096,전라남도해남군보건소,46,820,59038,전남해남군해남읍해남로46(해리),061)531-3773,061)531-3773,061)530-3781
2024,468700,36700100,전라남도영광군보건소,46,870,57043,전남영광군영광읍신남로4길17(남천리),061)350-5809,061)350-5809,061)350-5809
2024,468100,36700126,전라남도강진군보건소,46,810,59240,전남강진군강진읍목리길11(동성리),061)430-5223,061)430-5223,061)430-5223
2024,467900,36700169,전라남도화순군보건소,46,790,58122,전남화순군화순읍쌍충로62,061)379-5313,061)379-5323,061)379-5355
2024,469100,36700177,전라남도신안군보건소,46,910,58827,전남신안군압해읍천사로1004,061)240-4023,061)240-4023,061)240-8848
2024,468000,36700185,전라남도장흥군보건소,46,800,59327,전남장흥군장흥읍흥성로49(건산리),061)860-6413,061)860-6413,061)860-6423
2024,467700,36700193,전라남도고흥군보건소,46,770,59542,전남고흥군고흥읍등암3길5(등암리),061)830-6675,061)830-6675,061)830-6632
2024,469000,36700215,전라남도진도군보건소,46,900,53922,전남진도군진도읍남동1길40-9(남동리),061)540-6924,061)540-6924,061)540-6954
2024,467100,36700223,전라남도담양군보건소,46,710,57335,전남담양군담양읍완동길10-11,061)380-3992,061)380-3992,061)380-3992
2024,467800,36700231,전라남도보성군보건소,46,780,59455,전남보성군보성읍송재로153(보성리),061)850-5679,061)850-5679,061)850-5672
2024,461700,36700266,전라남도나주시보건소,46,170,58274,전남나주시풍물시장2길57-32(이창동),061)339-4813,061)339-4813,061)339-2125
2024,461300,36700274,전라남도여수시보건소,46,130,59674,전남여수시시청서4길47(학동),061)659-4381,061)659-4381,061)659-4264
2024,468600,36700291,전라남도함평군보건소,46,860,57153,전남함평군함평읍중앙길54-8(기각리),061)320-2436,061)320-2436,061)320-2438
2024,462300,36700312,전라남도광양시보건소,46,230,57741,전남광양시광양읍인덕로1100(칠성리),061)797-4049,061)797-4024,061)797-4032
2024,468800,36700339,전라남도장성군보건소,46,880,57220,전남장성군장성읍청운11길13(영천리),061)390-8343,061)390-8342,061)390-8387
2024,467300,36770019,전라남도구례군보건의료원,46,730,57647,전남구례군구례읍동편제길30(백련리),061)780-2022,061)780-2041,061)780-2025
2024,467200,36770027,전라남도곡성군보건의료원,46,720,57542,전남곡성군곡성읍곡성로854,061)360-8974,061)360-8072,061)360-8072
2024,468900,36770035,전라남도완도군보건의료원,46,890,59108,전남완도군완도읍농공단지길34(죽청리483-8번지),061)550-6743,061)550-6743,061)550-6743
2024,471110,37700022,경상북도포항시남구보건소,47,111,37878,경북포항시남구동해안로6119(인덕동),054)270-4203,054)270-4203,054)270-4205
2024,471130,37700162,경상북도포항시북구보건소,47,113,37607,경북포항시북구삼흥로98(장성동.포항시북구보건소),054)270-4104,054)270-4104,054)270-4254
2024,472800,37700049,경상북도문경시보건소,47,280,36971,경북문경시점촌1길9(점촌동),054)550-8174,054)550-8174,054)550-8185
2024,479000,37700057,경상북도예천군보건소,47,900,36822,경북예천군예천읍군청길33,054)650-8032,054)650-8032,054)650-8073
2024,479200,37700073,경상북도봉화군보건소,47,920,36238,경북봉화군봉화읍봉화로1203,054)679-6762,054)679-6762,054)679-6741
2024,478400,37700111,경상북도성주군보건소,47,840,40023,경북성주군성주읍성밖숲길12,054)930-8263,054)930-8263,054)930-8144
2024,478500,37700138,경상북도칠곡군보건소,47,850,39872,경북칠곡군왜관읍관문로1길30(매원리),054)979-8232,054)979-8232,054)979-8229
2024,478300,37700146,경상북도고령군보건소,47,830,40138,경북고령군대가야읍왕릉로56-5,054)950-7945,054)950-7945,054)950-7953
2024,478200,37700154,경상북도청도군보건소,47,820,38329,경북청도군화양읍청화로79-11(범곡리),054)370-2645,054)370-2645,054)370-6477
2024,477700,37700201,경상북도영덕군보건소,47,770,36431,경북영덕군영덕읍군청길53,054)730-6812,054)730-6843,054)730-6843
2024,477300,37700235,경상북도의성군보건소,47,730,37343,경북의성군의성읍구봉길228,054)830-6677,054)830-6677,054)830-6686
2024,472100,37700251,경상북도영주시보건소,47,210,36132,경북영주시시청로1번길19,054)693-5762,054)639-5762,054)639-5742
2024,471500,37700260,경상북도김천시보건소,47,150,39532,경북김천시시청1길221(신음동),054-421-2802,054-421-2802,054-421-2802
2024,471900,37700278,경상북도구미시구미보건소,47,190,39192,경북구미시선산대로111,054)480-4064,054)480-4064,054)480-4073
2024,471901,37700421,경상북도구미시선산보건소,47,190,39112,경북구미시선산읍선주로121,054)480-4374,054)480-4374,054)480-4158
2024,471700,37700286,경상북도안동시보건소,47,170,36694,경북안동시서동문로165안동시보건소,054)840-5970,054)840-5970,054)840-5970
2024,477600,37700294,경상북도영양군보건소,47,760,36540,경북영양군영양읍동서대로82(동부리),054)680-5133,054)680-5130,054)680-5156
2024,471300,37700308,경상북도경주시보건소,47,130,38099,경북경주시양정로300(동천동),054)779-8567,054)779-8567,054)779-8994
2024,472300,37700375,경상북도영천시보건소,47,230,38849,경북영천시옛군청1길31(문내동),054)339-7883,054)339-7883,054)339-7898
2024,472500,37700391,경상북도상주시보건소,47,250,37183,경북상주시중앙로111(무양동),054)537-5176,054)537-5176,054)537-5255
2024,472900,37700413,경상북도경산시보건소,47,290,38616,경북경산시남매로158(중방동.경산시보건소),053)810-6362,053)810-6362,053)810-6385
2024,479300,37700430,경상북도울진군보건소,47,930,36324,경북울진군울진읍읍내8길61-8,054)789-5022,054)789-5022,054)789-5050
2024,477500,37770012,경상북도청송군보건의료원,47,750,37433,경북청송군청송읍의료원길19,054)870-7282,054)870-7282,054)870-7282
2024,479400,37770039,경상북도울릉군보건의료원,47,940,40217,경북울릉군울릉읍울릉순환로396-18(도동리),054)790-6833,054)790-6822,054)790-6824
2024,481290,38700034,경상남도창원시진해보건소,48,129,51629,경남창원시진해구진해대로1101(풍호동),055)225-6139,055)225-6139,055)225-6139
2024,481250,38700115,경상남도창원시마산보건소,48,125,51742,경남창원시마산합포구월영동북로15(해운동),055)225-5957,055)225-5968,055)225-5946
2024,481270,38700115,경상남도창원시마산보건소,48,127,51742,경남창원시마산합포구월영동북로15(해운동),055)225-5957,055)225-5968,055)225-5946
2024,481600,38700115,경상남도창원시마산보건소,48,160,51742,경남창원시마산합포구월영동북로15(해운동),055)225-5957,055)225-5968,055)225-5946
2024,481210,38700140,경상남도창원시창원보건소,48,121,51444,경남창원시성산구중앙대로162번길9(신월동.창원보건소),055)225-5855,055)225-5810,055)225-5779
2024,481230,38700140,경상남도창원시창원보건소,48,123,51444,경남창원시성산구중앙대로162번길9(신월동.창원보건소),055)225-5855,055)225-5810,055)225-5779
2024,481100,38700140,경상남도창원시창원보건소,48,110,51444,경남창원시성산구중앙대로162번길9(신월동.창원보건소),055)225-5855,055)225-5810,055)225-5779
2024,488200,38700051,경상남도고성군보건소,48,820,52934,경남고성군고성읍남포로79번길103-3(대독리),055)670-4053,055)670-4081,055)670-4053
2024,482400,38700069,경상남도사천시보건소,48,240,52539,경남사천시용현면시청로77-1(덕곡리),055)831-3553,055)831-3553,055)831-3527
2024,488500,38700077,경상남도하동군보건소,48,850,52333,경남하동군하동읍군청로31(읍내리),055)880-6624,055)880-6651,055)880-6607
2024,487200,38700085,경상남도의령군보건소,48,720,52151,경남의령군의병로8길16(서동리),055)570-4053,055)570-4053,055)570-4005
2024,482501,38700395,경상남도김해시서부보건소,48,250,50981,경남김해시능동로149(부곡동.서부보건소),055)330-4873,055)330-4873,055)330-8386
2024,481700,38700131,경상남도진주시보건소,48,170,52732,경남진주시월아산로2026(초전동),055)749-6674,055)749-6673,055)749-6673
2024,487400,38700182,경상남도창녕군보건소,48,740,50317,경남창녕군창녕읍우포2로1189-35,055)530-6223,055)530-6223,055)530-6223
2024,483300,38700191,경상남도양산시보건소,48,330,50629,경남양산시삽량로169(중부동),055)392-5122,055)392-5122,055)392-5122
2024,488700,38700212,경상남도함양군보건소,48,870,50039,경남함양군함양읍한들로141(용평리),055)960-8063,055)960-8063,055)960-8062
2024,488800,38700221,경상남도거창군보건소,48,880,50142,경남거창군거창읍거함대로3079,055)940-8344,055)940-8377,055)940-8377
2024,488900,38700239,경상남도합천군보건소,48,890,50232,경남합천군합천읍동서로39,055)930-4052,055)930-4052,055)930-4055
2024,488400,38700247,경상남도남해군보건소,48,840,52413,경남남해군남해읍선소로6(북변리),055)860-8724,055)860-8724,055)870-8781
2024,482700,38700336,경상남도밀양시보건소,48,270,50437,경남밀양시삼문중앙로41(삼문동),055)359-7040,055)359-7040,055)359-6984
2024,483100,38700344,경상남도거제시보건소,48,310,53236,경남거제시수양로506(양정동),055)639-6215,055)639-6215,055)639-6296
2024,482200,38700352,경상남도통영시보건소,48,220,53038,경남통영시안개4길108(무전동),055)650-6042,055)650-6043,055)650-6043
2024,487300,38700379,경상남도함안군보건소,48,730,52046,경남함안군가야읍중앙남4길10(말산리)함안군보건소,055)580-3023,055)580-3023,055)580-3024
2024,488600,38770024,경상남도산청군보건의료원,48,860,52220,경남산청군산청읍중앙로97(지리797),055)970-7543,055)970-7542,055)970-7542
2024,501100,39700020,제주특별자치도제주시제주보건소,50,110,63219,제주특별자치도제주시연삼로264(도남동),064)728-4064,064)728-4064,064)728-8484
2024,491100,39700020,제주특별자치도제주시제주보건소,49,110,63219,제주특별자치도제주시연삼로264(도남동),064)728-4064,064)728-4064,064)728-8484
2024,501102,39700062,제주특별자치도제주시동부보건소,50,110,63357,제주특별자치도제주시구좌읍김녕로14길6(김녕리),064)728-4189,064)728-4185,064)728-4207
2024,497100,39700062,제주특별자치도제주시동부보건소,49,710,63357,제주특별자치도제주시구좌읍김녕로14길6(김녕리),064)728-4189,064)728-4185,064)728-4207
2024,501101,39700038,제주특별자치도제주시서부보건소,50,110,63028,제주특별자치도제주시한림읍강구로5(한림리),064)728-4152,064)728-4105,064)728-4105
2024,501301,39700046,제주특별자치도서귀포시서귀포보건소,50,130,63584,제주특별자치도서귀포시중앙로101번길52(서홍동),064)760-6031,064)760-6077,064)760-6086
2024,491300,39700046,제주특별자치도서귀포시서귀포보건소,49,130,63584,제주특별자치도서귀포시중앙로101번길52(서홍동),064)760-6031,064)760-6077,064)760-6086
2024,501300,39700011,제주특별자치도서귀포시동부보건소,50,130,63620,제주특별자치도서귀포시남원읍태위로527(남원리),064)760-6145,064)760-6183,064)760-6133
2024,501302,39700054,제주특별자치도서귀포시서부보건소,50,130,63513,제주특별자치도서귀포시대정읍최남단해안로15번길12(하모리),064)760-6243,064)760-6254,064)760-6232
2024,116500,11700203,서울특별시서초구보건소,11,650,6750,서울시서초구남부순환로2584(서초동),02)2155-8082,02)2155-8172,02)2155-8124
2024,114400,11700017,서울특별시마포구보건소,11,440,3937,서울시마포구월드컵로212(성산동),02)3154-9044,02)3153-9142,02)3153-9994
2024,112900,11700033,서울특별시성북구보건소,11,290,2751,서울시성북구화랑로63(하월곡동),02)2241-6093,02)2241-6093,02)2241-6093
2024,114100,11700041,서울특별시서대문구보건소,11,410,3718,서울시서대문구연희로242(연희동),02)3140-8380,02)3153-9168,02)330-8943
