가설,기관유형코드,검정,표본수,통계량,p값,제외이유,해석제한,FDR보정p값,FDR_0.05기각
A,I31,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,I32,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,I33,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,M31,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,M32,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,M33,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,M34,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,M35,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,M36,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,S41,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
